character x y
l 9.998032569885254 -12.272396087646484
a 8.459328651428223 20.66693878173828
ɡ -7.29851770401001 -4.841287612915039
o 18.30271339416504 16.079994201660156
u 16.718454360961914 11.265267372131348
tʰ -17.540943145751953 -4.673061847686768
t -18.093280792236328 -6.122002124786377
ʂ -8.483091354370117 4.533468246459961
sʼ -8.471710205078125 0.9185484051704407
ʒ -8.169718742370605 2.540591239929199
ɨ 11.857779502868652 12.17397689819336
r 12.174328804016113 -10.8899507522583
n 9.837441444396973 -3.0837836265563965
ɥ -0.4826344847679138 -13.988792419433594
pʰ -9.811644554138184 -13.778407096862793
d -20.116811752319336 -5.450194835662842
z -11.911050796508789 5.995427131652832
ħ -4.9995293617248535 -2.473703145980835
k -6.554471969604492 -5.673622131347656
qʼ -4.052270889282227 2.2268917560577393
ʃʼ -7.699977397918701 0.9060025215148926
ʁ 0.042605556547641754 -10.234835624694824
b -10.096166610717773 -14.468353271484375
ɔ 19.1199951171875 16.303253173828125
m -9.759865760803223 -9.280067443847656
e 14.06390380859375 22.50461769104004
ə 15.007308006286621 19.11369514465332
ʊ 16.343721389770508 10.49417495727539
uː 16.888397216796875 12.443915367126465
h -0.4304278790950775 7.8272624015808105
w 0.34997689723968506 -14.150877952575684
q -5.915975570678711 -4.931101322174072
aː 9.984472274780273 21.642105102539062
j -3.842278003692627 1.5345755815505981
ɣ -6.565802574157715 -3.4715659618377686
ʑ -7.244193077087402 0.5949566960334778
kʷ -2.623727798461914 -13.97274112701416
χʷ -1.2776793241500854 -15.655088424682617
ɬ 7.973079204559326 -8.258806228637695
ʁʷ -1.5363121032714844 -13.906944274902344
p -11.031448364257812 -13.061878204345703
χ -3.631573438644409 -1.874197006225586
ʔʷ 0.47092926502227783 -13.629866600036621
ʔ -10.23025131225586 -4.25931453704834
s -10.545814514160156 6.75905704498291
ɕ -7.167604923248291 1.7273151874542236
ʃ -8.056092262268066 3.478560447692871
x -2.9044015407562256 -1.7231682538986206
kʲ -4.331284046173096 -4.215750217437744
ɡʷ -2.6924643516540527 -14.829483985900879
ʐ -20.810543060302734 -4.5164947509765625
f -5.90146017074585 -12.137726783752441
ʃʷ -0.7129336595535278 -10.657894134521484
kʲʼ -1.5883427858352661 -5.724926948547363
pʼ -4.994818210601807 -13.971410751342773
kʷʼ -1.8863788843154907 -12.986331939697266
qʷ -2.0947999954223633 -16.574996948242188
rʲ 8.2935791015625 -10.789674758911133
ɪ 11.093777656555176 12.699064254760742
kʼ -3.5628178119659424 -3.60994029045105
i 11.384687423706055 11.331040382385254
ɡʲ -4.311758995056152 -12.682982444763184
c -12.872760772705078 -0.049662813544273376
v -6.168093681335449 -16.197134017944336
lˠ 7.994245529174805 -9.250840187072754
ɑ 9.983787536621094 22.317508697509766
xʷ -2.1953861713409424 -14.631680488586426
tː -17.939401626586914 -3.501228094100952
ɐ 6.664673805236816 18.980506896972656
eː 11.276620864868164 16.775104522705078
iː 11.831626892089844 9.50802230834961
ɛ 12.695898056030273 21.82076072692871
ɦ -9.023571014404297 -1.5486550331115723
ŋ 10.777061462402344 2.135385036468506
œ 14.5303316116333 14.383543014526367
y 14.040251731872559 11.279804229736328
o̞ 18.437923431396484 16.1311092376709
e̞ 14.985011100769043 21.076255798339844
kʰ -6.083430767059326 -5.646361351013184
t̠ʃ 11.074090957641602 5.065709590911865
ɾ 11.424224853515625 -11.675663948059082
n̪ 10.510210037231445 -2.651057720184326
ø 15.855998039245605 16.44683837890625
t̪ -17.491880416870117 -6.044574737548828
s̪ -11.11361312866211 5.5871806144714355
l̪ 8.80095386505127 -12.508170127868652
ɲ 2.1414499282836914 -6.568358421325684
d̪ -19.860633850097656 -4.7015533447265625
z̪ -12.15188217163086 4.725318908691406
ɔː 14.997584342956543 15.995853424072266
æ 9.028181076049805 19.744075775146484
θ -15.24262809753418 -0.6953651905059814
æː 13.181124687194824 18.38286590576172
oː 18.220487594604492 13.30054759979248
ð -15.818461418151855 -1.4842833280563354
ç -5.172346115112305 -1.3026748895645142
ʍ -3.1474721431732178 -15.865413665771484
l̥ 9.13958740234375 -8.044515609741211
r̥ 8.879860877990723 -10.215182304382324
n̥ 8.74101734161377 -4.974968433380127
ɑː 7.53449010848999 18.810867309570312
ɗ -13.452707290649414 -2.2812089920043945
ʕ -5.903627395629883 -2.1545073986053467
nː 7.584544658660889 -1.716538906097412
t̪ʰ -15.821755409240723 -1.7507002353668213
ai̯ 10.637761116027832 5.813730239868164
ɒ 9.503101348876953 17.18767547607422
ɟ -13.35926628112793 -1.5577137470245361
lː 2.882197856903076 -8.444748878479004
ʎ 2.536438226699829 -7.646353244781494
ɟʝ -4.210521697998047 1.7864502668380737
ʝ -4.927584648132324 0.9722437858581543
ɖ -18.27322006225586 -7.289166450500488
β -8.785965919494629 -14.2083101272583
r̪ 13.136727333068848 -9.983826637268066
a̟ 11.342928886413574 19.848773956298828
ɯ̞ 15.353660583496094 11.995311737060547
ʏ 13.428348541259766 12.003838539123535
ɛː 12.370772361755371 16.113069534301758
ɤ̞ 12.719040870666504 16.768260955810547
ts -14.157564163208008 -4.977734565734863
d̠ʒ 5.737484455108643 -0.47432321310043335
ʈ -18.384506225585938 -5.323117256164551
ã 13.876384735107422 19.31345558166504
b̤ -6.700565814971924 -13.758435249328613
d̪̤ -19.007841110229492 -5.808060646057129
æ̃ 9.776021957397461 20.266080856323242
ẽ̞ 10.804760932922363 17.860315322875977
ɪ̃ 12.296338081359863 10.006706237792969
õ 6.45869255065918 18.06053352355957
nˠ 9.377690315246582 -1.2209291458129883
ɑ̃ 9.015667915344238 5.609333038330078
ɹ 12.386444091796875 -9.177693367004395
l̪ˠ 9.834416389465332 -10.060657501220703
vʲ -5.565777778625488 -13.657437324523926
bʲ -6.083975315093994 -14.030665397644043
l̪ʲ 10.200662612915039 -9.201920509338379
d̪ʲ -16.98585319519043 -4.080308437347412
nʲ 8.113090515136719 -3.743445634841919
z̪ʲ -11.090328216552734 3.0396292209625244
ɘ 12.130496978759766 18.66303062438965
mʲ -9.596963882446289 -9.469770431518555
t̪ʲ -18.246126174926758 -4.519699573516846
pʲ -8.574159622192383 -13.525419235229492
r̝ 7.600804328918457 -10.217446327209473
ɯ 16.267086029052734 15.252565383911133
ɤ 8.683242797851562 21.60215950012207
cçʰ -10.331613540649414 2.7095048427581787
fʲ -5.236642360687256 -14.755549430847168
ɓ -9.986573219299316 -12.418262481689453
ɨː 12.966654777526855 13.478558540344238
ai 12.0361909866333 6.997459888458252
ɨ̞ 12.708812713623047 15.568161964416504
ʌ 7.457730770111084 19.318326950073242
yː 12.183754920959473 11.789403915405273
ʋ -6.159879684448242 -15.174147605895996
øː 16.679601669311523 17.74827003479004
ɪ̯ 13.518657684326172 20.132686614990234
ʀ 11.445730209350586 -8.570013999938965
ɐ̃ 6.8362650871276855 20.71730613708496
ɵ 16.160818099975586 12.194896697998047
ʉ 13.80564022064209 20.925382614135742
ɾʲ 8.988790512084961 -9.798361778259277
ɜ 12.818084716796875 20.256155014038086
au̯ 13.373361587524414 7.256652355194092
lʲ 8.563963890075684 -9.219070434570312
ɻ 12.514627456665039 -10.130125045776367
oi̯ 10.015955924987793 5.810478210449219
eu̯ 13.618878364562988 7.276979446411133
ĩ 11.5667085647583 14.743334770202637
ɸ -8.716108322143555 -12.4764404296875
