character x y
l -3.153872013092041 -12.611663818359375
a -20.43768882751465 5.8266777992248535
ɡ 9.348214149475098 -3.87679123878479
o -14.57689380645752 10.535195350646973
u -10.408551216125488 8.751340866088867
tʰ 17.830286026000977 -2.123295307159424
t 19.340534210205078 -2.099844217300415
ʂ 7.379981994628906 4.472134113311768
sʼ 5.921337127685547 1.3195199966430664
ʒ 7.090930461883545 2.7827184200286865
ɨ -11.720367431640625 4.639787673950195
r -2.394026517868042 -14.52995491027832
n -4.3049635887146 -6.8737711906433105
ɥ 9.805116653442383 -12.681105613708496
pʰ 13.881905555725098 -8.142560005187988
d 18.916366577148438 -4.084926128387451
z 10.107494354248047 5.776580810546875
ħ 7.471415996551514 -1.343551754951477
k 10.020682334899902 -3.1938259601593018
qʼ 2.6303133964538574 0.7844356894493103
ʃʼ 5.723974227905273 2.044177293777466
ʁ 5.118164539337158 -8.903875350952148
b 13.648521423339844 -7.5058112144470215
ɔ -19.97083282470703 2.4318673610687256
m 12.349868774414062 -5.621161460876465
e -16.006900787353516 2.7252659797668457
ə -18.08109474182129 9.493402481079102
ʊ -9.784801483154297 8.364495277404785
uː -11.47415542602539 9.043935775756836
h -10.646453857421875 -4.460398197174072
w 9.55817985534668 -13.59524917602539
q 9.209662437438965 -2.9444782733917236
aː -19.573598861694336 7.301675796508789
j 2.7264111042022705 1.4238967895507812
ɣ 8.842705726623535 -1.6967054605484009
ʑ 5.329996585845947 2.079336166381836
kʷ 8.09021282196045 -11.330351829528809
χʷ 5.896141052246094 -10.97886848449707
ɬ -1.489046573638916 -10.941169738769531
ʁʷ 8.248342514038086 -12.48197078704834
p 15.208935737609863 -8.032960891723633
χ 6.232603073120117 -1.3853024244308472
ʔʷ 9.135503768920898 -13.722088813781738
ʔ 13.562992095947266 3.760469913482666
s 8.881936073303223 6.5146355628967285
ɕ 6.407224655151367 2.044039487838745
ʃ 7.0251145362854 3.5395946502685547
x 5.616119861602783 -1.60824716091156
kʲ 7.74390983581543 -2.858258008956909
ɡʷ 8.884730339050293 -11.288992881774902
ʐ 18.530853271484375 -4.899785995483398
f 12.568754196166992 -11.857159614562988
ʃʷ 5.852960109710693 -8.728099822998047
kʲʼ 4.861197471618652 -4.64915657043457
pʼ 10.484807014465332 -10.210033416748047
kʷʼ 7.615635871887207 -12.127461433410645
qʷ 7.054897785186768 -10.76121711730957
rʲ 0.5577954649925232 -13.081579208374023
ɪ -12.136857032775879 3.9022057056427
kʼ 6.775667667388916 -2.7508130073547363
i -10.923958778381348 4.274489402770996
ɡʲ 9.449902534484863 -9.002010345458984
c 11.175710678100586 0.0795353427529335
v 16.813623428344727 1.6493630409240723
lˠ -1.1002438068389893 -11.767236709594727
ɑ -19.741121292114258 7.90437126159668
xʷ 8.821619033813477 -11.581910133361816
tː 17.065109252929688 -2.7400245666503906
ɐ -22.26268196105957 5.980062007904053
eː -16.100496292114258 6.822624206542969
iː -9.268985748291016 4.4041290283203125
ɛ -15.371274948120117 3.824251413345337
ɦ 4.831249237060547 3.930670738220215
ŋ -3.2669243812561035 -1.0526076555252075
œ -13.393030166625977 7.29341459274292
y -10.598112106323242 6.461853504180908
o̞ -14.530688285827637 10.37244987487793
e̞ -17.21708869934082 1.9988855123519897
kʰ 10.03703784942627 -2.8867108821868896
t̠ʃ -5.335552215576172 1.792827844619751
ɾ -3.1782026290893555 -14.065797805786133
n̪ -4.593301296234131 -6.440898418426514
ø -15.213930130004883 8.827147483825684
t̪ 19.27779769897461 -1.6365324258804321
s̪ 9.396112442016602 5.451229095458984
l̪ -3.371150255203247 -11.791617393493652
ɲ 2.449042558670044 -7.146994590759277
d̪ 18.287353515625 -3.958012342453003
z̪ 10.212696075439453 4.61890172958374
ɔː -14.909878730773926 7.974587440490723
æ -19.935283660888672 4.9723100662231445
θ 14.21156120300293 -0.26299160718917847
æː -15.84415054321289 4.778778553009033
oː -12.189858436584473 10.411625862121582
ð 14.719895362854004 -0.9813893437385559
ç 7.281996250152588 0.0933084487915039
ʍ 8.178483009338379 -10.265167236328125
l̥ -2.0830368995666504 -11.841638565063477
