character x y
l -61.86528396606445 -20.060710906982422
a 35.75282669067383 86.55680847167969
g 59.23758316040039 -62.681190490722656
o -38.37282943725586 132.99618530273438
b 103.41663360595703 -24.770105361938477
r -84.43028259277344 -10.76025676727295
m 125.97959899902344 -37.34016418457031
e 5.25331974029541 105.40056610107422
u -58.51985549926758 93.69902801513672
t 19.970245361328125 -14.267171859741211
i -34.087345123291016 55.41302490234375
c 34.768394470214844 -41.3875617980957
n -39.65365982055664 -17.176570892333984
w -74.71147155761719 37.49136734008789
k 50.89894485473633 -37.80030822753906
v -91.14156341552734 35.10392761230469
s -43.93877410888672 -86.7465591430664
d 5.327036380767822 -3.5677521228790283
h 48.11577606201172 23.285640716552734
y -47.86643600463867 65.95263671875
p 92.46260070800781 -45.6411018371582
f 80.02188873291016 -19.536331176757812
j -16.243453979492188 -52.225406646728516
x 7.95869255065918 -90.53663635253906
ö -11.737366676330566 88.93374633789062
ð 9.759650230407715 19.31703758239746
á 23.979576110839844 102.74982452392578
í -36.72748947143555 83.41035461425781
ó -39.18464279174805 110.6713638305664
z -55.625267028808594 -53.40335464477539
ü -7.548216342926025 80.47779083251953
q 47.00746154785156 -19.303953170776367
č 12.626437187194824 -54.803550720214844
ž -11.872037887573242 -67.02517700195312
ú -47.009552001953125 99.56583404541016
é 13.82726001739502 117.09415435791016
š -12.486278533935547 -74.45413208007812
ă 2.4233222007751465 80.15208435058594
ä 6.214522361755371 90.02947235107422
å -47.866703033447266 119.21923065185547
ł -80.12358856201172 45.01142120361328
ą 39.804176330566406 54.08160400390625
ė 9.474625587463379 76.27522277832031
ا 32.56341552734375 72.67982482910156
ن -33.82146072387695 -19.418920516967773
ج 1.860541582107544 -54.41809844970703
ل -60.737159729003906 -26.941198348999023
ت 8.451399803161621 -22.65460777282715
ر -77.73719024658203 -4.240731239318848
م 118.0350341796875 -41.3568000793457
ح 45.31095504760742 29.319347381591797
د 2.5335869789123535 -10.634469032287598
ي -45.7634391784668 57.159706115722656
ف 74.61343383789062 -27.525300979614258
س -32.10476303100586 -76.95851135253906
و -70.10823059082031 59.67503356933594
ق 55.2490119934082 -89.49510955810547
ب 106.86744689941406 -29.987218856811523
غ 60.93600082397461 -85.81803894042969
ع 41.2282829284668 46.91550064086914
ة 41.786766052246094 82.26685333251953
ص -39.97677993774414 -79.76917266845703
ز -50.51475524902344 -63.27522277832031
ط 14.159448623657227 -19.605966567993164
ش -23.311674118041992 -72.0911865234375
ه 35.69465255737305 26.03031349182129
آ 26.523235321044922 79.53827667236328
خ 47.79307556152344 -4.131165027618408
چ 10.486856460571289 -60.377174377441406
ی -50.393165588378906 51.26689147949219
ک 67.25899505615234 -32.490074157714844
ژ -16.905181884765625 -62.28934097290039
گ 75.20723724365234 -65.68880462646484
پ 99.82608032226562 -52.712982177734375
ڠ 50.241451263427734 -81.53424072265625
ڤ 100.65473175048828 -46.031131744384766
ݢ 69.0674819946289 -61.20773696899414
ې -1.7118738889694214 108.87777709960938
ګ 63.66900634765625 -56.653968811035156
β -85.52890014648438 37.35844421386719
χ 47.06503677368164 2.0558769702911377
σ -49.85803985595703 -81.21245574951172
κ 42.31475830078125 -39.491153717041016
έ 7.499152660369873 112.5920181274414
ψ 20.73721694946289 -85.5418472290039
η -36.98097229003906 47.852203369140625
π 95.83241271972656 -38.12138366699219
ε -0.307508647441864 119.46932220458984
ρ -78.6957015991211 -13.694188117980957
ι -28.256324768066406 70.05382537841797
τ 20.627164840698242 -7.347599983215332
α 27.174762725830078 87.80105590820312
γ 68.29412841796875 -82.82637023925781
υ -68.26019287109375 86.54511260986328
ο -24.326231002807617 132.62269592285156
ς -40.18083572387695 -92.52641296386719
μ 121.71080780029297 -32.461570739746094
λ -70.88432312011719 -16.866634368896484
ί -31.660154342651367 75.21051788330078
δ 7.59444522857666 8.476875305175781
ν -43.65857696533203 -10.556739807128906
ό -28.253633499145508 126.82290649414062
ώ -38.71243667602539 123.98147583007812
ά 20.7172908782959 75.8138198852539
θ 13.58587646484375 12.50574779510498
ή -30.035261154174805 46.84676742553711
φ 73.24018859863281 -20.704652786254883
ζ -49.15398406982422 -57.14954376220703
ω -34.08720016479492 119.25605773925781
ύ -63.197509765625 83.80374145507812
ξ 13.052546501159668 -87.31531524658203
