character x y
l 10.947735786437988 7.123648643493652
a -12.924542427062988 8.244758605957031
ɡ 7.684465408325195 -12.074446678161621
o -10.451422691345215 9.36046028137207
u -8.462855339050293 14.348871231079102
tʰ 12.560482025146484 -17.38437843322754
t 14.235664367675781 -17.40740394592285
ʂ -1.2570884227752686 -13.533445358276367
sʼ 2.7874467372894287 -8.082613945007324
ʒ 0.30439427495002747 -13.142343521118164
ɨ -11.516454696655273 16.575788497924805
r 9.714325904846191 9.305717468261719
n -0.5799427032470703 0.15307137370109558
ɥ 7.790826320648193 -5.914402008056641
pʰ 14.906923294067383 -8.751468658447266
d 13.517765998840332 -15.365002632141113
z -3.0626235008239746 -11.769803047180176
ħ 3.5360641479492188 -10.928193092346191
k 6.841017723083496 -12.035690307617188
qʼ 1.8057156801223755 -11.231208801269531
ʃʼ 4.336565971374512 -8.606968879699707
ʁ 11.096087455749512 3.3373568058013916
b 15.205671310424805 -9.518145561218262
ɔ -11.124876022338867 8.501129150390625
m 17.006528854370117 -7.314538955688477
e -16.38960838317871 10.542556762695312
ə -15.959641456604004 13.891855239868164
ʊ -8.692164421081543 15.450275421142578
uː -8.343132019042969 13.75141716003418
h -1.175054907798767 -6.599583625793457
w 14.002376556396484 -4.030797481536865
q 6.978381156921387 -11.78161334991455
aː -14.132828712463379 8.362791061401367
j 3.8294198513031006 -5.552361488342285
ɣ 5.674922943115234 -12.796613693237305
ʑ 2.8236801624298096 -11.172215461730957
kʷ 9.938157081604004 -4.155858516693115
χʷ 10.143335342407227 -1.9006848335266113
ɬ 9.403838157653809 7.188717842102051
ʁʷ 9.609440803527832 -3.6458916664123535
p 14.22225570678711 -9.614713668823242
χ 3.157219648361206 -12.847577095031738
ʔʷ 12.298832893371582 -3.4351139068603516
ʔ 1.6637768745422363 -5.484528541564941
s -2.8556320667266846 -12.338322639465332
ɕ 0.44701606035232544 -9.299516677856445
ʃ -0.29390382766723633 -13.753212928771973
x 2.434476375579834 -13.300886154174805
kʲ 8.925823211669922 -9.746051788330078
ɡʷ 11.327437400817871 -2.588494062423706
ʐ 11.85130786895752 -15.063958168029785
f 16.222902297973633 -8.705623626708984
ʃʷ 11.715621948242188 -3.4217960834503174
kʲʼ 4.064657688140869 -9.330023765563965
pʼ 12.182584762573242 -5.775559425354004
kʷʼ 10.570673942565918 -1.5445659160614014
qʷ 10.398703575134277 -2.827148914337158
rʲ 8.557684898376465 3.135650396347046
ɪ -10.71889591217041 17.014677047729492
kʼ 8.633597373962402 -10.380594253540039
i -11.590503692626953 17.37604522705078
ɡʲ 8.741434097290039 -7.9467902183532715
c 6.680490016937256 -9.555536270141602
v 15.595810890197754 -6.874528884887695
lˠ 8.424759864807129 5.204981327056885
ɑ -14.121914863586426 7.5621137619018555
xʷ 10.469131469726562 -3.882763624191284
tː 11.262381553649902 -16.800567626953125
ɐ -12.263280868530273 6.9191155433654785
eː -14.50407600402832 12.591925621032715
iː -13.307161331176758 17.269939422607422
ɛ -17.198909759521484 11.466201782226562
ɦ 1.402176022529602 -11.313387870788574
ŋ -2.218019962310791 1.689974308013916
œ -10.964238166809082 13.318291664123535
y -10.465123176574707 15.276591300964355
o̞ -10.771340370178223 9.644396781921387
e̞ -17.603361129760742 11.367003440856934
kʰ 5.894322872161865 -12.582927703857422
t̠ʃ -2.989809036254883 -3.660623788833618
ɾ 11.227022171020508 8.013991355895996
n̪ -0.6302742958068848 -0.4870159327983856
ø -9.716310501098633 12.321837425231934
t̪ 13.690042495727539 -17.538410186767578
s̪ -2.900782585144043 -12.732357025146484
l̪ 10.895912170410156 6.442085266113281
ɲ 3.109893560409546 -3.265817642211914
d̪ 12.481496810913086 -15.703897476196289
z̪ -3.878312587738037 -11.010046005249023
ɔː -9.464612007141113 10.551677703857422
æ -15.440786361694336 8.61429500579834
θ 8.309680938720703 -16.245485305786133
æː -15.635332107543945 11.41700267791748
oː -10.119474411010742 11.395854949951172
ð 9.20240592956543 -15.986824989318848
ç 3.932067632675171 -9.779257774353027
ʍ 5.709995746612549 2.8398830890655518
l̥ 9.117484092712402 6.397034168243408
r̥ 8.737312316894531 6.435992240905762
n̥ 1.0352332592010498 0.9029393196105957
ɑː -6.5099029541015625 8.457513809204102
ɗ 3.136615514755249 -8.73259449005127
ʕ 4.768528938293457 -6.520638942718506
nː 1.8862316608428955 1.4975157976150513
t̪ʰ 10.210445404052734 -15.935269355773926
ai̯ -4.997840404510498 5.014448165893555
ɒ -11.975167274475098 10.227017402648926
ɟ 9.020511627197266 -13.509354591369629
lː 7.00400447845459 2.701265573501587
ʎ 9.337883949279785 2.82246732711792
ɟʝ 6.856266975402832 -4.269989967346191
ʝ 3.67268705368042 -5.61918306350708
ɖ 13.523513793945312 -16.893774032592773
β 14.965742111206055 -8.115567207336426
r̪ 8.668752670288086 8.105067253112793
a̟ -14.384407043457031 10.863931655883789
ɯ̞ -13.94537353515625 15.010692596435547
ʏ -10.342597007751465 14.763160705566406
ɛː -13.068360328674316 12.319950103759766
ɤ̞ -14.0962495803833 11.963288307189941
ts 9.475838661193848 -15.1940336227417
d̠ʒ 5.083166599273682 2.540876865386963
ʈ 13.130707740783691 -16.582263946533203
ã -15.871138572692871 13.431952476501465
b̤ 13.430150032043457 -5.784767150878906
d̪̤ 13.770086288452148 -16.46452522277832
æ̃ -13.952424049377441 9.539335250854492
ẽ̞ -7.795884609222412 9.33714771270752
ɪ̃ -12.685945510864258 16.913612365722656
õ -8.594911575317383 8.789080619812012
nˠ 0.7876207232475281 0.04356197640299797
ɑ̃ -4.663119316101074 7.253974437713623
ɹ 10.281379699707031 7.8973212242126465
l̪ˠ 8.318925857543945 7.116446495056152
vʲ 11.121444702148438 -5.848457336425781
bʲ 10.940902709960938 -5.982853889465332
l̪ʲ 9.426900863647461 4.4091386795043945
d̪ʲ 11.117159843444824 -17.833322525024414
nʲ 2.6323654651641846 0.5305765867233276
z̪ʲ -0.7127070426940918 -10.619338989257812
ɘ -11.548904418945312 12.440847396850586
mʲ 10.486787796020508 -7.804478645324707
t̪ʲ 11.329212188720703 -18.06626319885254
pʲ 12.20771598815918 -6.852010250091553
r̝ 8.746134757995605 4.214224815368652
ɯ -12.626789093017578 13.68383502960205
ɤ -12.043506622314453 9.209257125854492
cçʰ -2.828184127807617 -10.269043922424316
fʲ 10.926397323608398 -4.642096996307373
ɓ 14.272411346435547 -8.644264221191406
ɨː -12.181389808654785 14.865161895751953
ai -7.2162299156188965 5.587357997894287
ɨ̞ -12.144706726074219 14.433405876159668
ʌ -12.281784057617188 7.311123371124268
yː -12.130252838134766 15.680563926696777
ʋ 14.739195823669434 -7.814446926116943
øː -15.667466163635254 16.519250869750977
ɪ̯ -13.337397575378418 14.044059753417969
ʀ 8.471150398254395 9.058918952941895
ɐ̃ -10.299786567687988 7.516479015350342
ɵ -11.246460914611816 13.840156555175781
ʉ -16.333396911621094 12.374590873718262
ɾʲ 9.297258377075195 5.44951868057251
ɜ -14.164164543151855 10.384298324584961
au̯ -5.735384941101074 5.584200382232666
lʲ 7.587761878967285 4.367125511169434
ɻ 10.685837745666504 9.052888870239258
oi̯ -5.1657586097717285 5.012340545654297
eu̯ -7.704357624053955 13.426116943359375
ĩ -13.056173324584961 16.11153221130371
ɸ 14.084446907043457 -7.261730194091797
kː 9.743741989135742 -9.318034172058105
ʃʰ 5.9321393966674805 -9.165335655212402
ɳ 0.3504965901374817 0.44574782252311707
ɢ 8.010785102844238 -13.747300148010254
ɒ̃ -2.9038734436035156 5.3813700675964355
ɔːː -5.241366863250732 7.954339981079102
ɔ̃ː -3.91530442237854 7.197023391723633
n̥ˠ -1.490786075592041 -12.092082977294922
ɸʲ 13.122235298156738 -7.825377941131592
ɾˠ 9.280900955200195 8.162490844726562
n̥ʲ 10.261201858520508 -15.24939250946045
l̠ 10.104537010192871 5.781353950500488
õ̞ -8.894318580627441 10.703372955322266
n̠ 4.319527626037598 -0.6299011707305908
pʲʰ 13.537543296813965 -7.670968532562256
ʊ̃ -8.201263427734375 11.456218719482422
βʲ 9.912548065185547 -7.0507426261901855
β̞ 14.157478332519531 -6.080942630767822
ɜ̃ -13.427506446838379 11.511785507202148
n̪̤ 0.15008530020713806 -0.14917613565921783
ɽ̃ 7.990191459655762 5.593792915344238
d̪z̪ 6.5187883377075195 3.767357349395752
